ន	និង|នៃ|នេះ|នៅ|នៅក្នុង|នឹង
ភាពញ	ភាពញឹកញាប់
ភាពញឹ	ភាពញឹកញាប់
មេឌៀ	មេឌៀ
ដង្ហែ	ដង្ហែ|ដង្ហែរ
ផ្លាត	ផ្លាតូ
តំរង	តំរង់|តំរង់លី|តំរងនោម
តំរង់	តំរង់|តំរង់លី
លំហរវ	លំហរវាង
មុខ៖	មុខ៖
កាត់ទ	កាត់ទោស|កាត់ទុក
អ៊ីស្	អ៊ីស្រាអែល|អ៊ីស្លង់|អ៊ីស្លាម|អ៊ីស្ទើរ|អ៊ីស្ការី|អ៊ីស្តា
ហ្គោរ	ហ្គោរ|ហ្គោរ៖|ហ្គោរ៉ាស
ស្រើ	ស្រើប
ស្រើប	ស្រើប
អនុប	អនុបណ្ឌិត
អនុបណ	អនុបណ្ឌិត
'	'ពពក|'វត្ថុអនុស្សាវរីយ៍|'ភាព|'ផល|'បាទ|'ការផ្គត់ផ្គង់
'ព	'ពពក
'ពព	'ពពក
'ពពក	'ពពក
ជ្រុល	ជ្រុល|ជ្រុលនិយម
ម៉ាយល	ម៉ាយល៍
ងងុ	ងងុយ|ងងុយដេក
ងងុយ	ងងុយ|ងងុយដេក
ធាតុប	ធាតុបញ្ចូល
សាលា៖	សាលា៖
ក្រៃ	ក្រៃលែង
ក្រៃល	ក្រៃលែង
ស្អែ	ស្អែក
ស្អែក	ស្អែក
ជ្រួ	ជ្រួច|ជ្រួតជ្រាប|ជ្រួញ|ជ្រួត
ជ្រួច	ជ្រួច
សម្រក	សម្រក
ញ្ហ	ញ្ហា៖
ញ្ហា	ញ្ហា៖
ញ្ហា៖	ញ្ហា៖
ផរ	ផរណា|ផរណា៖
ផរណ	ផរណា|ផរណា៖
ផរណា	ផរណា|ផរណា៖
របង	របង
ការអវ	ការអវត្តមាន|ការអវត្ដមាន
ច៖	ច៖
ផ្ទុះ	ផ្ទុះឡើង|ផ្ទុះ
ខែមេ	ខែមេសា
ខែមេស	ខែមេសា
ង់	ង់៖
ង់៖	ង់៖
ក្តោប	ក្តោប
ជឺ	ជឺ
ទង់	ទង់ជាតិ|ទង់|ទង់ដែង
ទង់ជ	ទង់ជាតិ
ទង់ជា	ទង់ជាតិ
លេងស	លេងសើច
លេងសើ	លេងសើច
គំនរ	គំនរ
ព្រលប	ព្រលប់
ហៃ	ហៃ
ជាវ	ជាវ
អំពើច	អំពើចិត្ត
ដួង	ដួងចិត្ត
ដួងច	ដួងចិត្ត
ដួងចិ	ដួងចិត្ត
អណ្តូ	អណ្តូង
ដែនដ	ដែនដី
ដែនដី	ដែនដី
ម៉ាញ	ម៉ាញេ|ម៉ាញេទិក|ម៉ាញ៉េស្យូម|ម៉ាញេទិច|ម៉ាញ៉េ
ម៉ាញេ	ម៉ាញេ|ម៉ាញេទិក|ម៉ាញេទិច
គុក	គុក
សង្ឃរ	សង្ឃរា
នីតិប	នីតិបុគ្គល|នីតិប្បញ្ញត្តិ|នីតិបញ្ញត្តិ|នីតិបញ្ញត្តិ៖
អកម	អកម្ម
អកម្	អកម្ម
អកម្ម	អកម្ម
សួរស	សួរសុខទុក្ខ
សួរសុ	សួរសុខទុក្ខ
អធ្	អធ្រាត្រ|អធ្យាស្រ័យ
អធ្រ	អធ្រាត្រ
អធ្រា	អធ្រាត្រ
ឯកជន៖	ឯកជន៖
សំភ	សំភាសន៍
សំភា	សំភាសន៍
សំភាស	សំភាសន៍
ដម	ដម
ឯកសណ	ឯកសណ្ឋាន
ឯកសណ្	ឯកសណ្ឋាន
ត្រាស	ត្រាស់|ត្រាស់ដឹង
មន្ទិ	មន្ទិល
ត្រើ	ត្រើយ
ត្រើយ	ត្រើយ
ស័ព	ស័ព្ទ
ស័ព្	ស័ព្ទ
ស័ព្ទ	ស័ព្ទ
លោកគ	លោកគ្រូ
លោកគ្	លោកគ្រូ
វ៉ាន	វ៉ានីឡា|វ៉ាន់
វ៉ានី	វ៉ានីឡា
ភាពរួ	ភាពរួសរាយ
យ៉ាប	យ៉ាប់យ៉ឺន
យ៉ាប់	យ៉ាប់យ៉ឺន
ព្រៃផ	ព្រៃផ្សៃ
ខែត	ខែតុលា
ខែតុ	ខែតុលា
ខែតុល	ខែតុលា
មហាជ	មហាជន
មហាជន	មហាជន
អាណា៖	អាណា៖
អង្គធ	អង្គធាតុ
ពុះ	ពុះ|ពុះកញ្ជ្រោល
រាលដ	រាលដាល
រាលដា	រាលដាល
សេរ៉	សេរ៉ា
សេរ៉ា	សេរ៉ា
ដំបែ	ដំបែ
ធី	ធី|ធីក|ធីសាល
ដោះល	ដោះលែង
ដោះលែ	ដោះលែង
ភាពរអ	ភាពរអាក់រអួល
រោទ៍	រោទ៍
ផ្តេ	ផ្តេក
ផ្តេក	ផ្តេក
ឆម	ឆមាស
ឆមា	ឆមាស
ឆមាស	ឆមាស
ជ័យជំ	ជ័យជំនះ
តៅ	តៅ
កូត	កូតា|កូត
កូតា	កូតា
ញ័	ញ័រ
ញ័រ	ញ័រ
ផ្ទៃព	ផ្ទៃពោះ
មេអ	មេអំបៅ
មេអំ	មេអំបៅ
មេអំប	មេអំបៅ
ហ្វ្	ហ្វ្រារ៉េដ|ហ្វ្រាំង|ហ្វ្លុយ|ហ្វ្រី|ហ្វ្រេន|ហ្វ្រែង
ហ្វ្រ	ហ្វ្រារ៉េដ|ហ្វ្រាំង|ហ្វ្រី|ហ្វ្រេន|ហ្វ្រែង|ហ្វ្រារ៉េដដែល
ស្បថ	ស្បថ
ភាពរល	ភាពរលូន|ភាពរលោង
ឆប	ឆប|ឆបគ្នា
ចុះច	ចុះចត|ចុះចាញ់
ចុះចត	ចុះចត
ការអង	ការអង្គុយ
ភាពជិ	ភាពជិត|ភាពជិតស្និទ្ធ|ភាពជិតស្និត
ចម្រោ	ចម្រោះ
អរិភ	អរិភាព
អរិភា	អរិភាព
ឈីប	ឈីប
កកើតឡ	កកើតឡើងវិញ៖
សៀង	សៀង
ឥណ្ឌូ	ឥណ្ឌូនេស៊ី|ឥណ្ឌូណេស៊ី|ឥណ្ឌូ|ឥណ្ឌូនេស៊ី៖|ឥណ្ឌូស
មរណៈ	មរណៈ
ខែមី	ខែមីនា
ខែមីន	ខែមីនា
ត្រក	ត្រកូល|ត្រកួន|ត្រកាល
ត្រកូ	ត្រកូល
អ៊ីញ	អ៊ីញ
រៀបក	រៀបការ
រៀបកា	រៀបការ
មាគ	មាគ៌ា
មាគ៌	មាគ៌ា
មាគ៌ា	មាគ៌ា
កម្រា	កម្រាល|កម្រាស់|កម្រាម
គណនាក	គណនាការ|គណនាការចំណាយ
អាណាព	អាណាព្យាបាល
ហៀ	ហៀរ|ហៀប
ហៀរ	ហៀរ
ពានរ	ពានរង្វាន់
ពានរង	ពានរង្វាន់
ដែរ៖	ដែរ៖
បូជា	បូជា|បូជាចារ្យ
សារា	សារាយ
សារាយ	សារាយ
បាត់ខ	បាត់ខ្លួន
៩	៩|៩០
ផ្លិ	ផ្លិច
ផ្លិច	ផ្លិច
ការរៃ	ការរៃ
បំល	បំលែង|បំលាស់
បំលែ	បំលែង
បំលែង	បំលែង
បង្គត	បង្គត់
ន័រ	ន័រវេស|ន័រវេសរស់|ន័រវេសមិន|ន័រវេសត្រូវតែ
ន័រវ	ន័រវេស|ន័រវេសរស់|ន័រវេសមិន|ន័រវេសត្រូវតែ
ន័រវេ	ន័រវេស|ន័រវេសរស់|ន័រវេសមិន|ន័រវេសត្រូវតែ
រនា	រនាំង
រនាំ	រនាំង
រនាំង	រនាំង
កិន	កិន
រ៉ាដ	រ៉ាដា|រ៉ាដ្យង់
រ៉ាដា	រ៉ាដា
ត្រស	ត្រសក់
ត្រសក	ត្រសក់
ថា៖	ថា៖
ប្រល័	ប្រល័យ
មេន	មេន|មេនិម្មិត
អូបុ	អូបុរស
អូបុរ	អូបុរស
ប្លេ	ប្លេត|ប្លេត៖
ប្លេត	ប្លេត|ប្លេត៖
បែកប	បែកបាក់
បែកបា	បែកបាក់
ស្រះ	ស្រះ
យុគសំ	យុគសំរិទ្ធ
ប្តី	ប្តី
ភាពន	ភាពនឿយហត់
ភាពនឿ	ភាពនឿយហត់
ព្រំប	ព្រំប្រទល់
ភាពធម	ភាពធម្មតា
តំល	តំលៃ
តំលៃ	តំលៃ
រាជាន	រាជានិយម
ដាវី	ដាវីន|ដាវីឌ
ដាវីន	ដាវីន
សោធ	សោធន
សោធន	សោធន
បម្រា	បម្រាម
ប័ត	ប័ត្រ
ប័ត្	ប័ត្រ
ប័ត្រ	ប័ត្រ
ជំរុំ	ជំរុំ
ផាសុខ	ផាសុខភាព
ខ្ពង	ខ្ពង់រាប|ខ្ពង់ខ្ពស់
ខ្ពង់	ខ្ពង់រាប|ខ្ពង់ខ្ពស់
ធំធា	ធំធាត់
ធំធាត	ធំធាត់
បិត	បិតា
បិតា	បិតា
ឌីស	ឌីស|ឌីស៊ី|ឌីស៊ី៖
ម៉ា៖	ម៉ា៖
បស្	បស្ចិម
បស្ច	បស្ចិម
បស្ចិ	បស្ចិម
សព្វា	សព្វាវុធ
ខែមក	ខែមករា
ខែមករ	ខែមករា
អ្នកឈ	អ្នកឈ្លានពាន
ហ្គាស	ហ្គាស
អេត	អេត្យូពី|អេត
អេត្	អេត្យូពី
អេត្យ	អេត្យូពី
អឹ	អឹម
អឹម	អឹម
រ៉ាឌ	រ៉ាឌីកាល់
រ៉ាឌី	រ៉ាឌីកាល់
ការ៖	ការ៖
អាល់ប	អាល់ប៊ុម|អាល់បេដូ
ប៉ាគ	ប៉ាគីស្ថាន
ប៉ាគី	ប៉ាគីស្ថាន
ប៉ូឡេ	ប៉ូឡេអុង
ជំងឺ៖	ជំងឺ៖
ពេល៖	ពេល៖
ត្ត	ត្តិ៖|ត្ត៖|ត្តា៖
ត្តិ	ត្តិ៖
ត្តិ៖	ត្តិ៖
អត្ថា	អត្ថាធិប្បាយ
សំរាក	សំរាក
បូករ	បូករួម|បូករួមទាំង
បូករួ	បូករួម|បូករួមទាំង
តន្រ	តន្រ្តី
តន្រ្	តន្រ្តី
ចង្កោ	ចង្កោម
អាផ	អាផាតមិន|អាផា|អាផាត
អាផា	អាផាតមិន|អាផា|អាផាត
អាផាត	អាផាតមិន|អាផាត
អត់ឱ	អត់ឱន
អត់ឱន	អត់ឱន
អញ្ចា	អញ្ចាញ
មក៖	មក៖
ងក	ងក់
ងក់	ងក់
ស្រោច	ស្រោចស្រព|ស្រោច
កុងត	កុងតឺន័រ
កុងតឺ	កុងតឺន័រ
អាក់	អាក់ទិក|អាក់អន់ចិត្ត
អាក់ទ	អាក់ទិក
នាំផ	នាំផ្លូវ
នាំផ្	នាំផ្លូវ
តណ	តណ្ហា
តណ្	តណ្ហា
តណ្ហ	តណ្ហា
តណ្ហា	តណ្ហា
ច្របា	ច្របាច់
ជល	ជល|ជលសាស្ត្រ|ជល់
ជាសារ	ជាសារ
ខ្យង	ខ្យង
ម្អ	ម្អ៖
ម្អ៖	ម្អ៖
មោឃ	មោឃៈ
មោឃៈ	មោឃៈ
ប៉ូត	ប៉ូតាស្យូម
ប៉ូតា	ប៉ូតាស្យូម
ពាហ	ពាហនៈ
ពាហន	ពាហនៈ
ពាហនៈ	ពាហនៈ
ឡាក	ឡាក់|ឡាក្រូស
ឡាក់	ឡាក់
ពត់	ពត់
អូយ	អូយ
កំល	កំលាំង
កំលា	កំលាំង
កំលាំ	កំលាំង
តំរែ	តំរែ
កំទ	កំទេចកំទី|កំទេច
កំទេ	កំទេចកំទី|កំទេច
កំទេច	កំទេចកំទី|កំទេច
ការធូ	ការធូរ|ការធូរស្បើយ
សំឡី	សំឡី
សោម	សោមនស្ស
សោមន	សោមនស្ស
សោមនស	សោមនស្ស
សូឡ	សូឡា
សូឡា	សូឡា
សល	សល់|សល់៖
សល់	សល់|សល់៖
កៅស	កៅស៊ូ|កៅសិប
កៅស៊	កៅស៊ូ
កៅស៊ូ	កៅស៊ូ
កង្ក	កង្កែប
កង្កែ	កង្កែប
អាណាក	អាណាក្រាម
យំ	យំ
ប៉ាក	ប៉ាក់
ប៉ាក់	ប៉ាក់
ភាពសោ	ភាពសោកសៅ
រីកដ	រីកដុះដាល
រីកដុ	រីកដុះដាល
ហើរ	ហើរ
លីង	លីង
រីង	រីងស្ងួត|រីង
រីងស	រីងស្ងួត
រីងស្	រីងស្ងួត
ខែធ	ខែធ្នូ
ខែធ្	ខែធ្នូ
ខែធ្ន	ខែធ្នូ
ផើ	ផើង
ផើង	ផើង
ដាស	ដាស់តឿន|ដាស់
ដាស់	ដាស់តឿន|ដាស់
ដាស់ត	ដាស់តឿន
កណ្តុ	កណ្តុរ
អូម	អូមេហ្គា|អូមិន
អូមេ	អូមេហ្គា
អូមេហ	អូមេហ្គា
ប៉ូឡូ	ប៉ូឡូញ|ប៉ូឡូ|ប៉ូឡូទឹក|ប៉ូឡូញ៖
កំផ	កំផែង|កំផ្លៀង
កំផែ	កំផែង
កំផែង	កំផែង
សកលវ	សកលវិទ្យាល័យ
សកលវិ	សកលវិទ្យាល័យ
ធម្មន	ធម្មនុញ្ញ
ជ្វ	ជ្វីហ្វ|ជ្វា
ជ្វី	ជ្វីហ្វ
ជ្វីហ	ជ្វីហ្វ
ក្លាហ	ក្លាហាន
អង្កេ	អង្កេត
ចាំង	ចាំង
ភាពឆើ	ភាពឆើតឆាយ
ព្រឹល	ព្រឹល
ស្គរ	ស្គរ
ហ្ស៊	ហ្ស៊កដានី៖|ហ្ស៊កដានី
ហ្ស៊ក	ហ្ស៊កដានី៖|ហ្ស៊កដានី
បន្លា	បន្លាស់|បន្លាយ|បន្លាច
ឃែ	ឃែស្ថ
ឃែស	ឃែស្ថ
ឃែស្	ឃែស្ថ
ឃែស្ថ	ឃែស្ថ
ការចៀ	ការចៀន|ការចៀសវាង
សករ	សករាជ
សករា	សករាជ
សករាជ	សករាជ
នៅម	នៅមុខ|នៅមុខងារ|នៅមុន
នៅមុ	នៅមុខ|នៅមុខងារ|នៅមុន
នៅមុខ	នៅមុខ|នៅមុខងារ
អូឌ	អូឌីយ៉ូ
អូឌី	អូឌីយ៉ូ
អូឌីយ	អូឌីយ៉ូ
ពែរ	ពែរ្ស|ពែរ|ពែរ្ស៖
ពែរ្	ពែរ្ស|ពែរ្ស៖
ពែរ្ស	ពែរ្ស|ពែរ្ស៖
អេធ	អេធី
អេធី	អេធី
ប៊្	ប៊្លូធូស|ប៊្លូ|ប៊្លូស|ប៊្លូបឺរី
ប៊្ល	ប៊្លូធូស|ប៊្លូ|ប៊្លូស|ប៊្លូបឺរី
ប៊្លូ	ប៊្លូធូស|ប៊្លូ|ប៊្លូស|ប៊្លូបឺរី
ដង្ក	ដង្កូវ|ដង្កៀប
ដង្កូ	ដង្កូវ
សមយ	សមយុទ្ធ
សមយុ	សមយុទ្ធ
សមយុទ	សមយុទ្ធ
មូស្	មូស្លីម
មូស្ល	មូស្លីម
អូ៎	អូ៎
ប៊ូល	ប៊ូលីន|ប៊ូលីង|ប៊ូល
ប៊ូលី	ប៊ូលីន|ប៊ូលីង
ស្វី	ស្វីស
ស្វីស	ស្វីស
ការសោ	ការសោកស្ដាយ|ការសោកស្តាយ|ការសោក|ការសោកសៅ
ការសក	ការសកម្ម
កកា	កកាយ
កកាយ	កកាយ
វីយ	វីយូឡុង|វីយូឡេ
វីយូ	វីយូឡុង|វីយូឡេ
វីយូឡ	វីយូឡុង|វីយូឡេ
សម្ដី	សម្ដី
ប៉ឹ	ប៉ឹង
ប៉ឹង	ប៉ឹង
តារាវ	តារាវិទូ|តារាវិទ្យា
ពីរោ	ពីរោះ
ពីរោះ	ពីរោះ
ចាប់ខ	ចាប់ខ្លួន
ភាពភ	ភាពភ័យខ្លាច|ភាពភ័យ|ភាពភ្ញាក់ផ្អើល
ភាពភ័	ភាពភ័យខ្លាច|ភាពភ័យ
អ៊ីរ	អ៊ីរ៉ាក់|អ៊ីរ៉ង់
អ៊ីរ៉	អ៊ីរ៉ាក់|អ៊ីរ៉ង់
ខ្ញែ	ខ្ញែក
ខ្ញែក	ខ្ញែក
ខែកញ	ខែកញ្ញា
ខែកញ្	ខែកញ្ញា
ក្ដី	ក្ដី|ក្ដីអំណរ|ក្ដីស្រឡាញ់
អណ្តើ	អណ្តើក
ប្រដៅ	ប្រដៅ
ម៉ាក់	ម៉ាក់
រូបន	រូបនីមួយ
រូបនី	រូបនីមួយ
កន្លះ	កន្លះ
ភាពចុ	ភាពចុះ
ខែកុ	ខែកុម្ភៈ
ខែកុម	ខែកុម្ភៈ
សន្លប	សន្លប់
រ៉ូមែ	រ៉ូមែនទិក
ច្រម	ច្រមុះ
ច្រមុ	ច្រមុះ
ប្រាម	ប្រាម
ក្តីក	ក្តីកង្វល់
ទុកឲ	ទុកឲ្យ
ទុកឲ្	ទុកឲ្យ
ស្តេរ	ស្តេរ៉េ|ស្តេរ៉ូអ៊ីត
ធំដ	ធំដុំ
ធំដុ	ធំដុំ
ធំដុំ	ធំដុំ
ប្រចៀ	ប្រចៀវ
ការ៉ា	ការ៉ាតេ|ការ៉ាប៊ីន
គមន	គមនាគមន៍|គមនាគម
គមនា	គមនាគមន៍|គមនាគម
គមនាគ	គមនាគមន៍|គមនាគម
ប្រែ៖	ប្រែ៖
ក្លារ	ក្លារ៉ូ
តាម៖	តាម៖
កណ្ដ	កណ្ដុរ|កណ្ដឹង|កណ្ដាស់
កណ្ដុ	កណ្ដុរ
ពិដ	ពិដាន
ពិដា	ពិដាន
ពិដាន	ពិដាន
អុត	អុត
ឡែ	ឡែក|ឡែន
ឡែក	ឡែក
ក្បត	ក្បត់
ក្បត់	ក្បត់
ការភា	ការភាន់ច្រលំ|ការភាន់ច្រឡំ
ក្ដារ	ក្ដារលាយ|ក្ដារ|ក្ដារចុច
ហ៎	ហ៎
ឌុ	ឌុច
ឌុច	ឌុច
បង្កង	បង្កង់|បង្កង
ហែង	ហែង
សាម៉	សាម៉ុង
សាម៉ុ	សាម៉ុង
បង្គា	បង្គាប់|បង្គា
ចុះចា	ចុះចាញ់
អាមី	អាមីណូ|អាមី៖|អាមី|អាមីឡាស
អាមីណ	អាមីណូ
ការឈរ	ការឈរ
កណ្តឹ	កណ្តឹង
ព្រមព	ព្រមព្រៀង
មន្តស	មន្តស្នេហ៍
ស្រព	ស្រពិចស្រពិល|ស្រពន់|ស្រពោន
ស្រពិ	ស្រពិចស្រពិល
លោកា	លោការីត
លោការ	លោការីត
ស្វាម	ស្វាមី
ឱសថស	ឱសថស្ថាន|ឱសថសាស្ត្រ
ឱសថស្	ឱសថស្ថាន
ស្មី	ស្មីត
ស្មីត	ស្មីត
ហ៊ូ	ហ៊ូ|ហ៊ូ។
កញ្ជ	កញ្ជ្រឹល|កញ្ជ្រៀវ|កញ្ជ្រោង
កញ្ជ្	កញ្ជ្រឹល|កញ្ជ្រៀវ|កញ្ជ្រោង
ចំហ៖	ចំហ៖
ប្រៃស	ប្រៃសណីយ៍
ប៊ែ	ប៊ែរឡាំង|ប៊ែក
ប៊ែរ	ប៊ែរឡាំង
ប៊ែរឡ	ប៊ែរឡាំង
ពិធី៖	ពិធី៖
ស្កុ	ស្កុត|ស្កុប
ស្កុត	ស្កុត
ព្រះស	ព្រះសង្ឃ|ព្រះសហគមន៍
វាំ	វាំងនន|វាំង
វាំង	វាំងនន|វាំង
វាំងន	វាំងនន
បរប	បរបាញ់
បរបា	បរបាញ់
បរបាញ	បរបាញ់
ម៉ាកុ	ម៉ាកុស៖|ម៉ាកុស
លំអង	លំអង
ការលែ	ការលែង|ការលែងលះ
វុ	វុឌ្ឍិ|វុឌ្ឍិចាំបាច់|វុឌ្ឍិ។
វុឌ	វុឌ្ឍិ|វុឌ្ឍិចាំបាច់|វុឌ្ឍិ។
វុឌ្	វុឌ្ឍិ|វុឌ្ឍិចាំបាច់|វុឌ្ឍិ។
វុឌ្ឍ	វុឌ្ឍិ|វុឌ្ឍិចាំបាច់|វុឌ្ឍិ។
អាហ្ស	អាហ្សង់ទីន
ពិសារ	ពិសារ
ចោទប	ចោទប្រកាន់
ចោទប្	ចោទប្រកាន់
ខែវ	ខែវិច្ឆិកា
ខែវិ	ខែវិច្ឆិកា
ខែវិច	ខែវិច្ឆិកា
រីឯ	រីឯ
សើប	សើប
សេន	សេន
កូដក	កូដកម្ម|កូដកម្មវិធី|កូដកម្រិត
កូដកម	កូដកម្ម|កូដកម្មវិធី|កូដកម្រិត
មុនគ	មុនគ
យ៉ាង៖	យ៉ាង៖
ចុះប	ចុះបង្អែម|ចុះបញ្ជី|ចុះបរិយាកាស|ចុះបច្ចេកវិទ្យា|ចុះបញ្ហា|ចុះបទពិសោធន៍
ចុះបង	ចុះបង្អែម
ផ្ច	ផ្ចង់
ផ្ចង	ផ្ចង់
ផ្ចង់	ផ្ចង់
ខូល	ខូលី
ខូលី	ខូលី
ឈ្លើ	ឈ្លើយ
ឈ្លើយ	ឈ្លើយ
វៀ	វៀតណាម|វៀ|វៀតណាម៖
វៀត	វៀតណាម|វៀតណាម៖
វៀតណ	វៀតណាម|វៀតណាម៖
វៀតណា	វៀតណាម|វៀតណាម៖
ហាំ	ហាំ
ឆាន	ឆានែល
ឆានែ	ឆានែល
ឆានែល	ឆានែល
សាណ	សាណា
សាណា	សាណា
ណាស៊	ណាស៊ី
ណាស៊ី	ណាស៊ី
កន្សែ	កន្សែង
កាកា	កាកាវ
កាកាវ	កាកាវ
ពិរុ	ពិរុទ្ធជន|ពិរុទ្ធ
ពិរុទ	ពិរុទ្ធជន|ពិរុទ្ធ
ហ្គ្	ហ្គ្រីន|ហ្គ្រេហ្គោ
ហ្គ្រ	ហ្គ្រីន|ហ្គ្រេហ្គោ
មតិ៖	មតិ៖
តួអក	តួអក្ស|តួអក្សរ
តួអក្	តួអក្ស|តួអក្សរ
យូណ	យូណេស្កូ
យូណេ	យូណេស្កូ
យូណេស	យូណេស្កូ
ខ្ជិ	ខ្ជិល
ខ្ជិល	ខ្ជិល
រុះ	រុះរើ
រុះរ	រុះរើ
រុះរើ	រុះរើ
ស៊ូណ	ស៊ូណាមិ
ស៊ូណា	ស៊ូណាមិ
មេដា	មេដាយ
មេដាយ	មេដាយ
ល្អា	ល្អាង
ល្អាង	ល្អាង
តូប	តូប|តូប៉ូឡូញ
ឌីវ	ឌីវ៉ាលី|ឌីវ|ឌីវីឌី
ឌីវ៉	ឌីវ៉ាលី
ឌីវ៉ា	ឌីវ៉ាលី
អាទិទ	អាទិទេព
វ៉ូ	វ៉ូទឹក
វ៉ូទ	វ៉ូទឹក
វ៉ូទឹ	វ៉ូទឹក
ការដេ	ការដេក|ការដេញថ្លៃ|ការដេញ|ការដេរ|ការដេកលក់
រំពុ	រំពុះ
រំពុះ	រំពុះ
តម្ក	តម្កើង
តម្កើ	តម្កើង
បង្កហ	បង្កហេតុ
ប៉ោង	ប៉ោង
ចង្កឹ	ចង្កឹះ
កូឡុ	កូឡុំប៊ី
កូឡុំ	កូឡុំប៊ី
ប្រេះ	ប្រេះ|ប្រេះស្រាំ
ការពណ	ការពណ៌នា
ឆ្កា	ឆ្ការ|ឆ្កាង
ឆ្ការ	ឆ្ការ
១៥	១៥|១៥០០|១៥០|១៥នាក់
ខ្នើ	ខ្នើយ
ខ្នើយ	ខ្នើយ
មួន	មួន|មួន៖
ព្រះម	ព្រះមហាក្សត្រ|ព្រះមហាក្សត្រិយានី
ភក្	ភក្ដីភាព|ភក្តីភាព|ភក្ដី
ភក្ដ	ភក្ដីភាព|ភក្ដី
ភក្ដី	ភក្ដីភាព|ភក្ដី
តារង	តារង្វាស់
តារង្	តារង្វាស់
លុយក	លុយកាក់|លុយក
លុយកា	លុយកាក់
អើយ	អើយ
ប្បទ	ប្បទាន
ប្បទា	ប្បទាន
វាយតំ	វាយតំលៃ
បង្ខូ	បង្ខូច
ដ្ត	ដ្ត
គេចផ	គេចផុត
គេចផុ	គេចផុត
រំពេ	រំពេច
រំពេច	រំពេច
បរិបូ	បរិបូរណ៍
កកុ	កកុញ
កកុញ	កកុញ
ខ្សឹ	ខ្សឹប|ខ្សឹបខ្សៀវ
ខ្សឹប	ខ្សឹប|ខ្សឹបខ្សៀវ
វិថ	វិថី
វិថី	វិថី
ក្តីរ	ក្តីរំភើប|ក្តីរីករាយ
ចរចារ	ចរចារ
ចុះ៖	ចុះ៖
ហ៊ុន	ហ៊ុន
ការញែ	ការញែក
ភាពរា	ភាពរាប|ភាពរាំងស្ងួត|ភាពរាំងស្ទះ
ម៉ុ	ម៉ុងហ្គោល|ម៉ុង|ម៉ុងហ្គោលី
ម៉ុង	ម៉ុងហ្គោល|ម៉ុង|ម៉ុងហ្គោលី
ម៉ុងហ	ម៉ុងហ្គោល|ម៉ុងហ្គោលី
លាក់ប	លាក់បាំង
ចំង	ចំងាយ
ចំងា	ចំងាយ
ចំងាយ	ចំងាយ
ឡុក	ឡុក
ចក្រព	ចក្រពត្តិនិយម|ចក្រពត្តិ
មុន៖	មុន៖
កសាងឡ	កសាងឡើង|កសាងឡើងវិញ
បន្ថោ	បន្ថោក
ឥទិ	ឥទិ្ធពល
ឥទិ្	ឥទិ្ធពល
ឥទិ្ធ	ឥទិ្ធពល
ការងង	ការងងុយ
តេក្វ	តេក្វាន់
គោច	គោចរ
គោចរ	គោចរ
ជីវម	ជីវមាត្រ|ជីវមេ|ជីវម៉ាស|ជីវម៉ាស់|ជីវម
ជីវមា	ជីវមាត្រ
រិះរ	រិះរក
រិះរក	រិះរក
ដកហ	ដកហូត
ដកហូ	ដកហូត
ដកហូត	ដកហូត
ពេត	ពេត្រុស
ពេត្	ពេត្រុស
ពេត្រ	ពេត្រុស
លេស	លេស
២០	២០|២០០
ខុង	ខុង
ធ្វើព	ធ្វើពុត
ឈើ៖	ឈើ៖
ថតរ	ថតរូប
ថតរូ	ថតរូប
ថតរូប	ថតរូប
រង៖	រង៖
រហ័ស៖	រហ័ស៖
អត្តច	អត្តចរិក|អត្តចរិត|អត្តចរិត៖
ម៉ែ៖	ម៉ែ៖
បំរុ	បំរុង
បំរុង	បំរុង
រាយប	រាយប៉ាយ
រាយប៉	រាយប៉ាយ
ស័ង	ស័ង្កសី
ស័ង្	ស័ង្កសី
ស័ង្ក	ស័ង្កសី
សិង	សិង្ហបុរី
សិង្	សិង្ហបុរី
សិង្ហ	សិង្ហបុរី
បោកបក	បោកបក់
អូរ	អូរ|អូរីន|អូរី
វារីក	វារីករាលដាល|វារីករាយ
ភាពធូ	ភាពធូរស្រាល
ទៅ៖	ទៅ៖
គាប	គាបសង្កត់|គាប់
គាបស	គាបសង្កត់
គាបសង	គាបសង្កត់
ធាង	ធាង
សោត	សោត|សោត្រឹមត្រូវ|សោតែ|សោតំណាង
ងប	ងប់
ងប់	ងប់
លាំ	លាំ
ទំហឹ	ទំហឹង
ទំហឹង	ទំហឹង
ជីវមេ	ជីវមេ
ចំហរវ	ចំហរវាង
ផ្តើ	ផ្តើម
ផ្តើម	ផ្តើម
ផ្សះ	ផ្សះផ្សា
ផ្សះផ	ផ្សះផ្សា
សណ្ដ	សណ្ដែក|សណ្ដ
សណ្ដែ	សណ្ដែក
ការតប	ការតបស្នង
អារី	អារី|អារីស្តូត
សម្ងួ	សម្ងួត
ផ្លុ	ផ្លុំ
ផ្លុំ	ផ្លុំ
តាំងច	តាំងចិត្ត
បទល	បទល្មើស
បទល្	បទល្មើស
បទល្ម	បទល្មើស
គុណត	គុណត|គុណតម្លៃ
ទឹកត	ទឹកតែ|ទឹកត្រី
ទឹកតែ	ទឹកតែ
ចេញ៖	ចេញ៖
ស្លូ	ស្លូតត្រង់|ស្លូតបូត|ស្លូត
ស្លូត	ស្លូតត្រង់|ស្លូតបូត|ស្លូត
តូច៖	តូច៖
